94,頭前庄,中和、蘆洲、新莊線,25.039705,121.461746,96,48
95,先嗇宮,中和、蘆洲、新莊線,25.046493,121.471916,80,40
96,三重,中和、蘆洲、新莊線,25.055791,121.484725,64,32
97,菜寮,中和、蘆洲、新莊線,25.060274,121.492156,57,28
98,台北橋,中和、蘆洲、新莊線,25.063274,121.500762,49,24
99,大橋頭,中和、蘆洲、新莊線,25.063199,121.512801,38,19
100,中山國小,中和、蘆洲、新莊線,25.062693,121.526418,32,16
101,行天宮,中和、蘆洲、新莊線,25.059717,121.533184,29,14
102,松江南京,中和、蘆洲、新莊線,25.052015,121.533075,18,9
103,東門,淡水、信義線,25.033847,121.528739,16,8
104,東門,中和、蘆洲、新莊線,25.033847,121.528739,16,8
105,蘆洲,中和、蘆洲、新莊線,25.091553,121.464471,122,61
106,三民高中,中和、蘆洲、新莊線,25.085456,121.473389,105,52
107,徐匯中學,中和、蘆洲、新莊線,25.080727,121.479673,93,46
108,三和國中,中和、蘆洲、新莊線,25.076858,121.486346,81,40
109,三重國小,中和、蘆洲、新莊線,25.070318,121.496904,62,31
110,迴龍,中和、蘆洲、新莊線,25.022107,121.411771,175,87
111,丹鳳,中和、蘆洲、新莊線,25.028893,121.422685,156,78
